n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
131072,32,4294921592,31,1,213316693,216730667,211968241,217099384,218999264,214961421,218892391,222652869,216878057,210017462,214567109,205763596,213760751,206481503,210259643,214573427,208029505,215104462,221033266,210704897,219983567,204259556,213334631,221022251,256196413,252231857,244922160,246855668,250926305,258948826,254961467,261927973,261927973
131072,32,4294933673,31,1,251764191,251724940,248778341,263070822,257766780,260861680,249805884,246110689,248971769,263344565,245185810,264127227,254266765,260336349,255155449,244545282,255125576,256082961,268225149,260778408,291889017,295975203,294601616,286374694,277653857,269859295,287084726,263991263,285281453,278744948,297554405,300349762,300349762
131072,32,4294944885,31,1,234936116,230044421,237823584,234169920,232116315,236975835,229166017,242428385,241562370,246564768,241800391,236507662,241327225,239820582,234030452,246995304,248254397,241693923,243373223,238543814,227654364,237195155,241258403,232957764,244260286,231748468,235345335,230726024,251735771,232015382,236165564,243546970,251735771
131072,32,4294949397,31,1,209552485,212104087,206857548,202374454,213161785,206605648,231577506,233811910,234087172,233001690,237992461,231716194,242973744,228307060,230958647,225836022,245631755,242900387,224886308,232813070,225168571,237844480,229641240,248415618,233534808,240618541,238767060,244253053,224780922,236280014,230819032,243454351,248415618
131072,32,4294957183,31,1,223439050,221369964,218644913,223121376,226848185,224919590,214641899,225674832,208912878,250731029,263806113,258627301,253564882,257458801,257110434,252252021,250725739,260306714,265609365,261622811,254217723,257946567,249554495,257363071,252844204,246731925,264335824,256643885,255483028,240450203,247934819,253116154,265609365
131072,32,4294959599,31,1,231236678,225588231,234211980,228788412,226568574,236660932,224946920,234128996,236220277,228112285,231254587,226579641,236909298,233821048,231900964,246209446,240635363,243121361,238028014,228797379,251626713,246107316,248731545,243057917,234725180,247599708,242464128,255147759,232273972,242762882,236854366,252747105,255147759
131072,32,4294961517,31,1,208628278,203462627,223512108,242041964,236526381,233405205,239340817,221811339,224371129,228382943,229880244,221011720,237732270,242997674,240322782,234753875,218732760,226121145,224048586,218806416,234272207,230144731,242093644,239301858,236852866,236015835,219422763,234607299,230875535,224497807,220227235,241582157,242997674
262144,32,4294927358,31,1,234227369,229114463,237458157,235435674,232062823,232273036,231962793,228238922,222359883,218061013,229987177,225144353,236004805,221465465,232359116,232248224,228430712,234472075,225395353,230246219,221595418,229682710,217571705,230186293,223612805,235096511,226912745,228834673,217919689,239321172,232821742,224227075,239321172
262144,32,4294934217,31,1,205224364,199799020,203275366,225356669,219225790,229007529,223574333,220292510,246436907,240065360,235443918,239186391,232463382,227675523,235694044,235223162,227177379,235727534,221017455,244601707,238639509,242304543,233986551,232932251,218208081,249976475,229806575,237107056,245358081,233775399,255167767,251603094,255167767
262144,32,4294943665,31,1,207002803,204894696,202233916,210646984,200180163,192334486,214293054,214470300,210192941,198941364,196793071,193013438,201419969,188025775,189501104,204290291,202091058,212102214,201907093,209774729,217798768,209818135,233989025,228767592,231634691,246905502,233442605,248405599,237643462,238283421,249107344,250104839,250104839
