n,k,i,p,m,r,t0,t1,t2,t3,t
67108864,4,4,149,384,33,6948194512,6952726141,6959664466,6963912850,6963912850
67108864,4,4,17,372,32,6919151157,6932712924,6939333518,6928170287,6939333518
67108864,4,4,222,336,29,6943528631,6939257739,6959944671,6953209136,6959944671
67108864,4,4,227,348,30,6995881180,6990923970,6987942577,7002231564,7002231564
67108864,4,4,27,312,27,6938822033,6947746001,6951566747,6936335106,6951566747
67108864,4,4,32,348,30,6945060302,6952138176,6940045388,6934799154,6952138176
67108864,4,4,38,384,33,7017667294,7025014053,7013291875,7009957979,7025014053
67108864,4,4,39,312,27,6919707137,6915529348,6931814215,6928171198,6931814215
67108864,4,4,62,372,32,6962877984,6968214020,6975527033,6956863707,6975527033
67108864,4,4,81,288,25,6960411055,6958051052,6949811809,6969500348,6969500348
134217728,4,4,0,336,29,14214355185,14201543482,14222027615,14207294267,14222027615
134217728,4,4,31,360,31,14303294247,14293942874,14289159229,14304985540,14304985540
134217728,4,4,3,312,27,14248216207,14241219079,14235969258,14256718408,14256718408
134217728,4,4,37,360,31,14215006368,14203355145,14208417381,14223591214,14223591214
134217728,4,4,4,312,27,14237719650,14254973139,14246687747,14243351211,14254973139
134217728,4,4,48,324,28,14215731226,14199425267,14212642990,14205564804,14215731226
134217728,4,4,5,384,33,14204079242,14212002317,14197405746,14192762351,14212002317
134217728,4,4,55,348,30,14211108374,14205549631,14218393949,14225252350,14225252350
134217728,4,4,7,312,27,14215461135,14222258859,14209830743,14205289665,14222258859
268435456,4,4,0,324,28,29422578086,29416761126,29442289002,29438773128,29442289002
268435456,4,4,11,420,36,29283564332,29296311116,29289291211,29300330890,29300330890
268435456,4,4,1,396,34,29246174245,29226800878,29234673504,29238773454,29246174245
268435456,4,4,31,348,30,29214717767,29210937419,29203878323,29199646402,29214717767
268435456,4,4,34,384,33,29271951589,29265224106,29260302628,29276726381,29276726381
268435456,4,4,4,300,26,29241213196,29233892896,29228123708,29246100534,29246100534
268435456,4,4,4,336,29,29314720871,29309681688,29303432196,29296460580,29314720871
268435456,4,4,5,396,34,29371956543,29354899047,29363710338,29350614793,29371956543
268435456,4,4,56,336,29,29219594784,29227376888,29208980668,29218756686,29227376888
