n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
33554432,8,8,2147382321,560,21,1818317054,1802555936,1814668791,1807825407,1822448419,1828289863,1817647944,1812139651,1828289863
33554432,8,8,2147512396,588,22,1804411354,1785997504,1791190975,1814912001,1798931721,1795941977,1812299404,1810414252,1814912001
33554432,8,8,2147774323,728,27,1822169830,1815418806,1827268785,1811822912,1822312322,1810586100,1822293254,1816326630,1827268785
67108864,8,8,2146801693,784,29,3503881228,3516432239,3511508131,3526665487,3518795053,3515371389,3506627687,3511440270,3526665487
67108864,8,8,2147088355,952,35,3499949089,3507778638,3496222353,3498252694,3489724490,3499049578,3486997149,3491404499,3507778638
67108864,8,8,2147125293,644,24,3504793963,3514087816,3493519182,3499327793,3492407523,3510376826,3505387741,3499867698,3514087816
67108864,8,8,2147273271,980,36,3519508625,3507877340,3502249482,3517338722,3515290701,3504511608,3500285908,3512392679,3519508625
67108864,8,8,2147315628,812,30,3502283798,3487540297,3493872969,3482140375,3495376931,3506209342,3503126293,3492271373,3506209342
67108864,8,8,2147554322,812,30,3489804695,3507163080,3499057326,3503230761,3511706254,3504512450,3499775495,3494752143,3511706254
67108864,8,8,2147587153,868,32,3481147398,3486721521,3497748296,3500510402,3496277354,3483036804,3490331108,3495154388,3500510402
67108864,8,8,2147858913,756,28,3507410611,3501581133,3497997282,3511858415,3495679916,3507440545,3499072496,3502294675,3511858415
67108864,8,8,2147981188,700,26,3494778963,3512126925,3519571532,3504322549,3488812523,3506345467,3518413439,3510688117,3519571532
134217728,8,8,2147355310,616,23,7015052972,7014665415,6996044516,7005212334,6991099487,7002199145,7006931635,7014997355,7015052972
134217728,8,8,2147373105,840,31,7013827827,7006567771,6996492709,7026712763,7023876458,7022841347,7011553379,7016507266,7026712763
134217728,8,8,2147433586,952,35,7051088898,7056116176,7044187960,7039364783,7067419518,7056251620,7065887721,7054308578,7067419518
134217728,8,8,2147445228,868,32,7001949499,7007991169,6996431055,7004364321,6993663998,7003102979,6992829061,6996768071,7007991169
134217728,8,8,2147461134,700,26,7032018822,7043900065,7037815468,7028962198,7046679818,7046373371,7041810447,7036413013,7046679818
134217728,8,8,2147478423,784,29,7003843243,7008942032,6996712130,6991401001,7010311263,6992749380,6999386673,7004733359,7010311263
134217728,8,8,2147616534,728,27,7009565348,7021664075,7003270869,6995586814,7011944491,6995343113,7008961170,7002528844,7021664075
134217728,8,8,2147624208,952,35,7018282379,7003840777,7007983756,6999340680,7019535778,7007893504,7013345425,7015899805,7019535778
268435456,8,8,2147284612,1008,37,14271782148,14272180112,14274614420,14267301667,14263749137,14273949628,14262122262,14267638058,14274614420
268435456,8,8,2147472885,728,27,14282108518,14289318296,14278301441,14283421918,14275382803,14289524635,14275786841,14278896739,14289524635
268435456,8,8,2147486923,728,27,14278826050,14267354462,14263904227,14275789695,14269201223,14278419357,14261480183,14254382473,14278826050
268435456,8,8,2147610057,980,36,14313018682,14319525736,14312297489,14309589528,14303455214,14298275894,14312808105,14305149518,14319525736
